Title,Description,Links,Publication Date
"Выплаты, стой, раз-два // Минэкономики предлагает отложить обязательства собственников МСП до демобилизации","Минэкономики подготовило изменения нормативно-правовой базы, регулирующей выполнение субъектами МСП условий предоставления грантов, льготных кредитов и микрозаймов, выплаты по ним для мобилизованных собственников малого и среднего бизнеса предлагается остановить до их возвращения к нормальной жизни. Требования же к исполнению обязательств по грантам могут быть пролонгированы на срок мобилизации или смягчены при их невыполнимости, письма об этом губернаторам и руководителям ведомств, которые выступают сторонами договоров о предоставлении господдержки МСП, профильный заместитель главы Минэкономики Татьяна Илюшникова уже отправила. Сами регионы, предоставляющие такую поддержку за счет субсидий Минэкономики, также смогут скорректировать соглашения о них.",https://www.kommersant.ru/doc/5595976,"Thu, 06 Oct 2022 23:10:00 +0300"
Фонд национального благосостояния продолжает сокращаться // Инфографика,"Объем Фонда национального благосостояния на 1 октября составил 10,792 трлн руб. (эквивалент $187,975 млрд), или 8,1% ВВП, сообщил Минфин РФ. За месяц он сократился на 1,08 трлн руб.На счетах ФНБ размещено 49,19 млрд евро, 5,31 млрд фунтов стерлингов, 768,26 млрд иен, 309,72 млрд юаней, 554,91 т золота в обезличенной форме, 264,3 млн руб. Доллар был полностью исключен из структуры ФНБ еще в прошлом году.",https://www.kommersant.ru/doc/5595874,"Thu, 06 Oct 2022 19:21:00 +0300"
Во Владимирской области создадут особую экономическую зону,"Минэкономразвития РФ разработало проект постановления о создании особой экономической зоны (ОЭЗ) промышленно-производственного типа «Владимир» в Киржачском и Александровском районах Владимирской области. Документ размещен на федеральном портале проектов нормативных правовых актов.«Считаем механизм особых экономических зон и дальнейшее развитие проектов на их территориях перспективным направлением во Владимирской области. Два года назад в регионе была открыта ОЭЗ ""Доброград-1"" — резидентами уже привлечено 77,1 млн руб. инвестиций. ОЭЗ остаются одним из драйверов привлечения инвестиций и промышленного развития регионов. В текущих условиях влияния санкций ОЭЗ — еще и один из ключевых инструментов для развития собственных производств и импортозамещения»,— приводит пресс-служба Минэкономразвития слова замглавы ведомства Дмитрия Вахрукова.По его словам, якорные резиденты планируют инвестировать в ОЭЗ 18,7 млрд руб. и создать более 1,8 тыс. новых рабочих мест. В числе проектов — организация производства бытовой…",https://www.kommersant.ru/doc/5595820,"Thu, 06 Oct 2022 18:08:00 +0300"
Госдолг Украины за август составил $98 млрд,"Государственный долг Украины за август вырос на $1,24 млрд (на 1,28%) и достиг $98,03 млрд. Об этом сообщает украинское издание «Корреспондент» со ссылкой на данные Минфина страны. По данным ведомства, прямой внешний долг увеличился с $52,21 млрд до $53,44 млрд. Прямой внутренний долг составил $34,49 млрд по сравнению с прошлым показателем – $34,34 млрд. Сумма гарантированного госдолга составила $10,10 млрд.В августе сообщалось, что прямой и гарантированный госдолг Украины за первое полугодие вырос до 68% ВВП, составив $105,39 млрд. По оценке Международного валютного фонда, по итогам года госдолг страны составит 86% ВВП. 4 октября Украина потребовала от Евросоюза более стабильной финансовой поддержки. Киев рассчитывает получить $38 млрд бюджетной помощи в 2023 году. С середины октября на Украину будут частями поступать выплаты суммой $5 млрд. Как сообщал Bloomberg, CША начнут выплачивать Киеву $1,5 млрд ежемесячно.  Лусине Баласян",https://www.kommersant.ru/doc/5595791,"Thu, 06 Oct 2022 17:12:00 +0300"
Путин назвал слабый спрос и снижение торгового оборота негативными тенденциями в экономике,"Президент Владимир Путин на совещании обратил внимание на снижение розничных продаж в России. По его мнению, слабый потребительский спрос и падение продаж являются негативными тенденциями в экономике. Глава государства считает, что санкционное давление будет усиливаться и поэтому призвал правительство подготовить «гибкие, эффективные планы действий как на ближайшую, так и на среднесрочную перспективу».«Хочу отметить и некоторые негативные тенденции в экономике. Так, по-прежнему остается слабым потребительский спрос. Мы много об этом говорили. Сейчас поговорим поподробнее. Здесь есть нюансы, требует внимания с нашей стороны»,— сказал господин Путин. Его слова приводятся на сайте Кремля. Президент сообщил, что в августе розничные продажи сократились на 8,8% в реальном выражении, «и в сентябре эта динамика еще понизилась». В последнюю неделю сентября «торговый оборот снизился даже в номинальном выражении». «И как уже сказал, по этой теме нужно будет поговорить отдельно. Просил бы доложить, что предлагается…",https://www.kommersant.ru/doc/5595696,"Thu, 06 Oct 2022 14:30:00 +0300"
Мишустин ожидает возвращения экономики к росту «чуть больше чем через год»,"Премьер Михаил Мишустин отметил, что в стране восстанавливается потребительский спрос. По его словам, на рынке труда наблюдается стабильная ситуация, инвестиционная активность находится на высоком уровне, а инфляция замедлилась с 17,8 до 13,5%. В силу этого, правительство считает, что российская экономика вернется к уверенному росту «чуть больше чем через год». «Ожидаем, что чуть больше чем через год экономика вернется к уверенному росту. И в 2024–2025 годах валовой внутренний продукт продолжит рост, прежде всего за счет увеличения внутреннего спроса — потребительского и инвестиционного — и благодаря реализации стратегических приоритетов. Это в том числе развитие транспортно-логистической инфраструктуры с учетом переориентации экспортно-импортных потоков»,— сказал господин Мишустин на пленарном заседании Каспийского экономического форума. Трансляцию мероприятия ведет российское правительство в YouTube. ВВП РФ во втором квартале 2022 года, по оценкам Росстата, сократился на 4,1%. Минэкономики России в сентябре…",https://www.kommersant.ru/doc/5595617,"Thu, 06 Oct 2022 12:18:00 +0300"
"Россия выделила Белоруссии $1,5 млрд на импортозамещение","Вице-премьер России Алексей Оверчук сообщил, что принято решение о выделении Белоруссии кредита на $1,5 млрд для импортозамещения.«Да, решения все приняты. Или подписали, или вот-вот подпишем»,-- сказал господин Оверчук «РИА Новости» на полях Каспийского экономического форума в Москве. «В принципе все параметры соглашения согласованы. На $1,5 млрд на проекты, которые будут связаны с импортозамещением и развитием соответствующих производств»,-- добавил он.Президент Белоруссии Александр Лукашенко сообщал о планах Москвы выделить Минску $1,5 млрд на импортозамещение в июне. По его словам, эти проекты будут востребованы и в РФ, и в Белоруссии. В начале сентября господин Лукашенко говорил, что в общей сложности Москва выделит Минску около $2 млрд на совместные проекты в этой сфере.Об отношениях РФ и Белоруссии -- в материале «Ъ» «Генерал словарного запаса».",https://www.kommersant.ru/doc/5595515,"Thu, 06 Oct 2022 09:53:00 +0300"
В плюсе только импорт // Мониторинг ВВП,"Росстат опубликовал оценку ВВП за второй квартал 2022 года, сделанную методом использования доходов (сумма расходов всех секторов на конечное потребление, валовое накопление капитала и запасов, чистый экспорт). Напомним, физический ВВП в годовом выражении за второй квартал просел на 4,1% на фоне роста общего уровня цен (дефлятор ВВП) на 17,1%.Как следует из новых данных, спрос сократился на 6,4% за счет снижения расходов на конечное потребление (минус 4,1%) и валового накопления (минус 13,8%). Спад конечного потребления связан с сокращением потребительских расходов домашних хозяйств на 5,5%. Валовое накопление падало (на 13,8%) на фоне увеличения трат на капитальные инвестиции (на 3,2%) и резкого сокращения «прироста запасов материальных оборотных средств, преимущественно товаров для перепродажи», сообщает Росстат.Между тем в структуре ВВП второго квартала траты на запасы снизились до 0,4% с 4%, а на капвложения выросли — до 18,1% с 17,6%. В результате доля валового накопления капитала сократилась — до…",https://www.kommersant.ru/doc/5595379,"Thu, 06 Oct 2022 01:14:00 +0300"
Землю призывают к порядку // Росреестр начинает кампанию по регистрации ИЖС и учету использования участков,"Росреестр подготовил два законопроекта о регулировании использования земель и построенных на них объектов, включая ИЖС. Новые нормы должны стимулировать граждан к кадастровой регистрации частных домов: при уклонении от нее на арендованной у государства земле более 10 лет недвижимость сможет быть продана на торгах. Также ведомство намерено расширить санкции за неиспользование и ненадлежащее использование любых земель: пока ответственность за это определена только для сельхозугодий. Бизнес говорит о необходимости смягчения и упрощения законодательства — однако Росреестру нужно наполнять кадастр данными: к нему привязываются многие экономические программы и планы.",https://www.kommersant.ru/doc/5595377,"Thu, 06 Oct 2022 01:14:00 +0300"
Урожай курсу не помеха // Минсельхоз продолжит защищать аграрный рынок от экспортной выручки,"Одной из ключевых тем вчерашней стратегической сессии на полях выставки «Золотая осень», несмотря на высокие результаты агропромышленного комплекса (АПК) в части производства сырья, стали отраслевые проблемы. Среди них зависимость от импортных семян, оборудования и техники: их производство предлагается наращивать за счет увеличения льготного кредитования подобных проектов — а также отставание в экспорте зерна, которое может обернуться затовариванием рынка, в силу чего требуется стимулирование переработки.",https://www.kommersant.ru/doc/5595332,"Thu, 06 Oct 2022 01:14:00 +0300"
Как изменить вид разрешенного использования земель,"Росреестр довольно подробно разъясняет порядок действий на случай, если фактический вид использования земли не соответствует разрешенному. Поясним, всего существует 13 видов разрешенного использования земель (ВРИ) — его определяют местные власти исходя из исторически сложившихся условий использования каждой территории, а также исходя из результатов публичных слушаний. Некоторые виды могут быть выбраны правообладателями участков самостоятельно, тогда как другие — после получения разрешения. При этом для некоторых видов деятельности участки не могут быть использованы, что объясняется защитой населения и обеспечением комфортных условий проживания.",https://www.kommersant.ru/doc/5595389,"Thu, 06 Oct 2022 01:13:00 +0300"
Что говорят чиновники об идеях Росреестра,"По мнению чиновников (в том числе региональных), реализация проекта Росреестра будет выгодна как государству, так и бизнесу и гражданам. Во-первых, изменения могут защитить имущественные интересы граждан. Сейчас собственники земельного участка не защищены от претензий со стороны контрольно-надзорных органов по вопросу использования земельного участка не по назначению или неиспользования в принципе. «Законопроект дает гражданину время на освоение земельного участка и устанавливает соответствующие сроки, только после истечения которых контрольно-надзорные органы могут заниматься вопросами привлечения к ответственности землепользователя»,— разъясняет статс-секретарь, замглавы Росреестра Алексей Бутовецкий. С ним соглашается и глава министерства имущественных отношений Московской области Наталья Адигамова: «Зарегистрированное недвижимое имущество — это не только правомочия владения им, пользования, распоряжения, но и в первую очередь страховка, минимизация всех рисков».Руководитель московского регионального отделения…",https://www.kommersant.ru/doc/5595387,"Thu, 06 Oct 2022 01:11:00 +0300"
Минпром Крыма сообщил об ограничениях на продажу бакалейных товаров // Советник Аксенова назвал информацию министерства не соответствующей действительности,"В Министерстве промышленной политики Крыма сообщили, что товары бакалейной группы будут отпускать в количестве до трех килограммов в одни руки «в целях избежания искусственного ажиотажа». Советник главы Крыма Олег Крючков сразу после сообщения Минпрома заявил, что это не так.«Информация об ограничении продажи товаров в Крыму не соответствует действительности. В ближайшее время будут дополнительные разъяснения»,— написал господин Крючков в Telegram.К бакалейной группе относятся сухие продовольственные товары первой необходимости, полуфабрикаты и консервы, а также некоторые хозяйственные товары вроде мыла и стирального порошка. В Минпроме заверили, что запасы товаров первой необходимости в Крыму рассчитаны почти на два месяца, все торговые сети работают в штатном режиме.«Запасы продовольственных и непродовольственных товаров первой необходимости составляют до 55 суток. Причин для повышенного спроса нет. В целях избежания искусственного ажиотажа отпуск товаров бакалейной группы ограничивается в одни руки…",https://www.kommersant.ru/doc/5606101,"Sat, 08 Oct 2022 10:36:00 +0300"
"Саудовская Аравия отрицает, что сокращает добычу нефти для причинения ущерба США","Саудовская Аравия не использует нефть в качестве оружия, заявил государственный министр по иностранным делам Саудовской Аравии Адель аль-Джубейр. Он назвал неверной мысль о том, что Эр-Рияд сокращает добычу вместе с ОПЕК+ для того, чтобы навредить США. «Нефть — это не оружие. Это не истребитель. Это не танк. Из нее нельзя стрелять. Мы рассматриваем нефть как товар и как важную часть мировой экономики… Идея о том, что Саудовская Аравия делает это, чтобы навредить США или из политической вовлеченности, в корне неверна»,— сказал министр Fox News.Эр-Рияд утверждает, что ОПЕК+ сокращает добычу нефти в качестве упреждающей меры, чтобы не допустить краха энергетического рынка. По словам министра, Саудовская Аравия хочет сохранить стабильность на рынке нефти в интересах стран-производителей и стран-покупателей.Государства—участники ОПЕК+ ранее на этой неделе согласились на сокращение добычи нефти на 2 млн баррелей в сутки. Это самое большое сокращение с 2020 года. Президент США Джо Байден назвал решение близоруким…",https://www.kommersant.ru/doc/5606052,"Sat, 08 Oct 2022 05:52:00 +0300"
А отпуск по расписанию // Продажи туров начали восстанавливаться,"После того как цены на авиаперелеты начали возвращаться к домобилизационным уровням (см. “Ъ” от 7 октября), продажи организованных туров тоже стали постепенно восстанавливаться. Туристы начали даже строить планы на Новый год, судя по тому, что бронируются туры на праздничные даты. Среди популярных направлений, как и до спецоперации, Турция, Египет, Мальдивы. Но полностью восстановился спрос пока только на Подмосковье: по словам участников рынка, те москвичи, которые собираются в отпуск, на всякий случай не планируют уезжать далеко от дома.",https://www.kommersant.ru/doc/5605737,"Sat, 08 Oct 2022 00:55:00 +0300"
С сим-карт просят списать штрафы // РСПП выступил за смягчение санкций за серость,"Российский союз промышленников и предпринимателей (РСПП) просит снизить размер штрафов для операторов связи за нарушение требований закона о серых сим-картах. Сейчас обсуждается введение штрафа в размере 250 тыс. руб. за нарушение порядка предоставления Роскомнадзору данных об абонентах, что сопоставимо с ответственностью за незаконное предпринимательство, отмечает союз. На фоне санкционного давления такие штрафы избыточны, согласны операторы связи. По мнению экспертов, введение такой ответственности не исключит распространения серых сим-карт.",https://www.kommersant.ru/doc/5605710,"Sat, 08 Oct 2022 00:55:00 +0300"
